Date,Information_Ratio,IR_CI_Lower,IR_CI_Upper
2014-10-01,8.629580361422216,-1.9527848542667745,21.496769507326004
2015-01-01,12.600972807314506,2.47672470265415,27.640029921801332
2015-04-01,9.088229740475093,0.7195024391885547,17.653183120430548
2015-07-01,11.831504223063817,6.061526065078816,22.0991703051723
2015-10-01,12.694611595875386,0.9897479879236333,28.014970377017868
2016-01-01,8.996446585284996,-0.19895632606529867,22.572848756899255
2016-04-01,12.136550418264177,2.7178800139250825,22.573620049529836
2016-07-01,12.616501515865338,0.9835976845212242,30.673283076079013
2016-10-01,12.208796000963934,3.502793559015467,25.953939043460984
2017-01-01,11.766929165260873,0.7983146321638284,27.110849187886643
2017-04-01,10.629000739795744,1.479909077778648,22.034043792961967
2017-07-01,19.959264411910862,10.974015242445633,37.5945736999506
2017-10-01,8.499123708897153,4.558809264477196,18.470879955186177
2018-01-01,8.874422650767668,1.6184354126060307,21.72744183974408
2018-04-01,7.70835620496411,-0.35186496059507877,18.894435487751256
2018-07-01,6.119540715738577,-2.7671822096822036,22.375139636983388
2018-10-01,9.37518003011811,4.264394197110426,22.561508153599554
2019-01-01,14.013616450382017,2.054541940215497,28.251148079487237
2019-04-01,14.519089336042999,3.4102110358350375,31.467716903732736
2019-07-01,3.9680184752644125,-1.8937835256526552,14.503553183994262
2019-10-01,7.599925990909468,-0.9127029232166171,18.274603338309653
2020-01-01,10.212380558743106,2.4995279232782117,30.590790981155664
2020-04-01,20.36676544923942,3.879409399943203,49.83590341253446
2020-07-01,6.699371473124277,-1.5665125543373009,20.539462371080006
2020-10-01,21.007469457903483,5.8606458094428735,46.142351798927905
2021-01-01,5.24831546024426,-5.326208532656198,24.137913113447603
2021-04-01,14.722933165225708,3.2025098465417656,28.11465502562698
2021-07-01,10.77640580744193,1.4710679612568751,21.018263852111122
2021-10-01,0.43008075394218465,-9.346799448009529,10.624773376924734
2022-01-01,5.076980884394557,1.158304692976412,9.579229624260648
2022-04-01,7.5807810113593,2.3784358972084894,14.016848988534536
2022-07-01,5.30757458689729,1.4504766036275165,9.415324776457581
2022-10-01,12.759773368117035,4.471742581369869,26.507650400298076
2023-01-01,9.463143778840871,-5.798477683880238,29.3223744035744
2023-04-01,5.082645346276559,-6.510948297740381,24.27469914467898
2023-07-01,16.5097333538704,2.7220595457348864,36.45527401400382
2023-10-01,3.977254837796377,-10.258888468020777,23.433030857568433
2024-01-01,7.298705668525823,-0.2877929774186915,22.763738536808127
2024-04-01,5.172762856385128,-2.4056125863467464,20.62092831763057
2024-07-01,10.194081408262448,-0.27079040941562843,23.59303035716453
2024-10-01,8.349463397520466,0.2535444684301834,17.869300049350723
2025-01-01,18.010754367160793,7.845566542895565,29.51052422833824
2025-04-01,-1.824733022166041,-20.0155122221953,21.408209998108475
